KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion
HAVCR2	BTLA	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
HAVCR2	CD28	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
HAVCR2	CSF2	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
HAVCR2	IL15	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
HAVCR2	IL17C	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
HAVCR2	IL21	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
HAVCR2	IL22	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
HAVCR2	IL4	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
HAVCR2	IL6	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
HAVCR2	LIF	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
BTLA	CD28	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
BTLA	CSF2	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
BTLA	IL15	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
BTLA	IL17C	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
BTLA	IL21	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
BTLA	IL22	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
BTLA	IL4	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
BTLA	IL6	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
BTLA	LIF	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CHI3L1	CXCL8	6.98330282489224e-14	1.11967578066339e-12	0.010752688172043	0.830190299122522	1	0
CHI3L1	IL17A	1.3102028466272e-05	5.06045957766131e-05	0.021505376344086	0.830190299122522	1	0
CHI3L1	IL6	1.3102028466272e-05	5.06045957766131e-05	0.021505376344086	0.830190299122522	1	0
TNF	CXCL10	1.09558519411079e-05	4.30118631762015e-05	0.032258064516129	0.830190299122522	1	0
TNF	CXCL9	1.09558519411079e-05	4.30118631762015e-05	0.032258064516129	0.830190299122522	1	0
TNF	SNCA	0.0036748977609006	0.0068877258622775	0.0946781129109319	0.830190299122522	1	0
TNF	TCIM	1.09558519411079e-05	4.30118631762015e-05	0.032258064516129	0.830190299122522	1	0
CXCL8	IL17A	1.3102028466272e-05	5.06045957766131e-05	0.021505376344086	0.830190299122522	1	0
CXCL8	IL6	1.3102028466272e-05	5.06045957766131e-05	0.021505376344086	0.830190299122522	1	0
IL17A	MIR15B	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
IL17A	NRF1	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
LIF	CD28	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
LIF	CSF2	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
LIF	IL15	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
LIF	IL17C	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
LIF	IL21	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
LIF	IL22	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
LIF	IL4	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
LIF	IL6	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
PDCD1	CD274	0.0005382898811121	0.0012774341954751	1.55572732193422e-07	2.38197855033722e-06	13	0
PDCD1	CTLA4	0.001293939617514	0.0028224172203267	7.40082614672845e-07	5.36975220686589e-05	11	0
CD68	CD4	1.88182802673964e-13	2.9921065625160297e-12	0.0002337540906965	0.584635003932401	2	0
CD68	CD8A	0.0002095106790775	0.0005814517869145	0.0023375409069658	0.584635003932401	2	0
AHR	IL22	1.4288104033255401e-10	1.4978957415083202e-09	0.021505376344086	0.830190299122522	1	0
CXCL9	CXCL10	1.69131375571396e-11	1.90948322242736e-10	0.010752688172043	0.830190299122522	1	0
CXCL9	TCIM	1.69131375571396e-11	1.90948322242736e-10	0.010752688172043	0.830190299122522	1	0
CD4	CD8A	0.0002095106790775	0.0005814517869145	0.0023375409069658	0.584635003932401	2	0
TIPARP	APC	0.0028052417422615	0.005535058163635	0.021505376344086	0.830190299122522	1	0
TIPARP	ARG1	8.68426534594846e-06	3.54050817950207e-05	0.010752688172043	0.830190299122522	1	0
TIPARP	PARP1	8.68426534594846e-06	3.54050817950207e-05	0.010752688172043	0.830190299122522	1	0
ACAD8	CRP	2.89640156303506e-09	2.14198999312825e-08	0.021505376344086	0.830190299122522	1	0
