KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion
MIR15B	APC	0.0052154676801927	0.0095868134237069	0.021505376344086	0.830190299122522	1	0
MIR15B	NRF1	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CXCL10	TCIM	1.69131375571396e-11	1.90948322242736e-10	0.010752688172043	0.830190299122522	1	0
PARP1	APC	0.0028052417422615	0.005535058163635	0.021505376344086	0.830190299122522	1	0
PARP1	ARG1	8.68426534594846e-06	3.54050817950207e-05	0.010752688172043	0.830190299122522	1	0
CTLA4	CD274	0.0020080863838891	0.0040587169708268	0.0003490778454898	0.010308700389748	7	0
ARG1	APC	0.0028052417422615	0.005535058163635	0.021505376344086	0.830190299122522	1	0
IL6	CD28	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
IL6	CSF2	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
IL6	IL15	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
IL6	IL17C	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
IL6	IL21	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
IL6	IL22	0.0050362482931877	0.0089728790551117	0.0423244108899565	0.819246405977949	1	1
IL6	IL4	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
CD28	CSF2	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CD28	IL15	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CD28	IL17C	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CD28	IL21	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CD28	IL22	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
CD28	IL4	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
APC	NRF1	0.0052154676801927	0.0095868134237069	0.021505376344086	0.830190299122522	1	0
IL21	CSF2	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL21	IL15	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL21	IL17C	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL21	IL22	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL21	IL4	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CSF2	IL15	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CSF2	IL17C	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CSF2	IL22	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
CSF2	IL4	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL4	IL15	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL4	IL17C	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL4	IL22	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL15	IL17C	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL15	IL22	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL17C	IL22	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
