kw1	kw2	crit_p	edge_weight	inv_edge_weight	iteration	pg	R1C1
sarcoidosis/diagnostic imaging	colitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
sarcoidosis/diagnostic imaging	encephalitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
sarcoidosis/diagnostic imaging	myocarditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
sarcoidosis/diagnostic imaging	neoplasms/diagnostic imaging	1.36725973757087e-07	0.021505376344086	0.830190299122522	0	2.00646083081679e-08	1
sarcoidosis/diagnostic imaging	pancreatitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
sarcoidosis/diagnostic imaging	pericarditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
sarcoidosis/diagnostic imaging	pneumonia/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
sarcoidosis/diagnostic imaging	thyroiditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
myocarditis/diagnostic imaging	colitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
myocarditis/diagnostic imaging	encephalitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
myocarditis/diagnostic imaging	neoplasms/diagnostic imaging	1.36725973757087e-07	0.021505376344086	0.830190299122522	0	2.00646083081679e-08	1
myocarditis/diagnostic imaging	pancreatitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
myocarditis/diagnostic imaging	pericarditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
myocarditis/diagnostic imaging	pneumonia/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
myocarditis/diagnostic imaging	thyroiditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
thyroiditis/diagnostic imaging	colitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
thyroiditis/diagnostic imaging	encephalitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
thyroiditis/diagnostic imaging	neoplasms/diagnostic imaging	1.36725973757087e-07	0.021505376344086	0.830190299122522	0	2.00646083081679e-08	1
thyroiditis/diagnostic imaging	pancreatitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
thyroiditis/diagnostic imaging	pericarditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
thyroiditis/diagnostic imaging	pneumonia/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
neoplasms/diagnostic imaging	colitis/diagnostic imaging	1.36725973757087e-07	0.021505376344086	0.830190299122522	0	2.00646083081679e-08	1
neoplasms/diagnostic imaging	encephalitis/diagnostic imaging	1.36725973757087e-07	0.021505376344086	0.830190299122522	0	2.00646083081679e-08	1
neoplasms/diagnostic imaging	pancreatitis/diagnostic imaging	1.36725973757087e-07	0.021505376344086	0.830190299122522	0	2.00646083081679e-08	1
neoplasms/diagnostic imaging	pericarditis/diagnostic imaging	1.36725973757087e-07	0.021505376344086	0.830190299122522	0	2.00646083081679e-08	1
neoplasms/diagnostic imaging	pneumonia/diagnostic imaging	1.36725973757087e-07	0.021505376344086	0.830190299122522	0	2.00646083081679e-08	1
encephalitis/diagnostic imaging	colitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
encephalitis/diagnostic imaging	pancreatitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
encephalitis/diagnostic imaging	pericarditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
encephalitis/diagnostic imaging	pneumonia/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
pancreatitis/diagnostic imaging	colitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
pancreatitis/diagnostic imaging	pericarditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
pancreatitis/diagnostic imaging	pneumonia/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
pericarditis/diagnostic imaging	colitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
pericarditis/diagnostic imaging	pneumonia/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
colitis/diagnostic imaging	pneumonia/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
