kw1	kw2	crit_p	edge_weight	inv_edge_weight	iteration	pg	R1C1
adrenal gland diseases/diagnostic imaging	colitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
adrenal gland diseases/diagnostic imaging	encephalitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
adrenal gland diseases/diagnostic imaging	hepatitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
adrenal gland diseases/diagnostic imaging	myocarditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
adrenal gland diseases/diagnostic imaging	neoplasms/diagnostic imaging	1.36725973757087e-07	0.021505376344086	0.830190299122522	0	2.00646083081679e-08	1
adrenal gland diseases/diagnostic imaging	pancreatitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
adrenal gland diseases/diagnostic imaging	pericarditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
adrenal gland diseases/diagnostic imaging	pneumonia/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
adrenal gland diseases/diagnostic imaging	sarcoidosis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
adrenal gland diseases/diagnostic imaging	thyroiditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
hepatitis/diagnostic imaging	colitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
hepatitis/diagnostic imaging	encephalitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
hepatitis/diagnostic imaging	myocarditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
hepatitis/diagnostic imaging	neoplasms/diagnostic imaging	1.36725973757087e-07	0.021505376344086	0.830190299122522	0	2.00646083081679e-08	1
hepatitis/diagnostic imaging	pancreatitis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
hepatitis/diagnostic imaging	pericarditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
hepatitis/diagnostic imaging	pneumonia/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
hepatitis/diagnostic imaging	sarcoidosis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
hepatitis/diagnostic imaging	thyroiditis/diagnostic imaging	7.74320237197327e-09	0.010752688172043	0.830190299122522	0	9.98337412738692e-10	1
