KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion
PARP1	APC	0.0028052417422615	0.005535058163635	0.021505376344086	0.830190299122522	1	0
PARP1	ARG1	8.68426534594846e-06	3.54050817950207e-05	0.010752688172043	0.830190299122522	1	0
PARP1	TIPARP	8.68426534594846e-06	3.54050817950207e-05	0.010752688172043	0.830190299122522	1	0
CD4	CD68	1.88182802673964e-13	2.9921065625160297e-12	0.0002337540906965	0.584635003932401	2	0
CD4	CD8A	0.0002095106790775	0.0005814517869145	0.0023375409069658	0.584635003932401	2	0
TCIM	CXCL10	1.69131375571396e-11	1.90948322242736e-10	0.010752688172043	0.830190299122522	1	0
TCIM	CXCL9	1.69131375571396e-11	1.90948322242736e-10	0.010752688172043	0.830190299122522	1	0
TCIM	TNF	1.09558519411079e-05	4.30118631762015e-05	0.032258064516129	0.830190299122522	1	0
ACAD8	CRP	2.89640156303506e-09	2.14198999312825e-08	0.021505376344086	0.830190299122522	1	0
TIPARP	APC	0.0028052417422615	0.005535058163635	0.021505376344086	0.830190299122522	1	0
TIPARP	ARG1	8.68426534594846e-06	3.54050817950207e-05	0.010752688172043	0.830190299122522	1	0
IL4	BTLA	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL4	CD28	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL4	CSF2	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL4	HAVCR2	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL4	IL15	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL4	IL17C	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL4	IL21	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL4	IL22	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL4	IL6	0.0017899010765538	0.0037694605453253	0.021505376344086	0.830190299122522	1	0
IL4	LIF	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
IL22	AHR	1.4288104033255401e-10	1.4978957415083202e-09	0.021505376344086	0.830190299122522	1	0
IL22	BTLA	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL22	CD28	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL22	CSF2	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL22	HAVCR2	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL22	IL15	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL22	IL17C	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL22	IL21	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
IL22	LIF	0.0006439898318757	0.0014984543892913	0.021505376344086	0.830190299122522	1	0
CD28	BTLA	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CD28	CSF2	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CD28	HAVCR2	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CD28	IL15	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
CD28	IL17C	9.37505645396408e-05	0.0002777578837603	0.010752688172043	0.830190299122522	1	0
